INPUT:image_left	INPUT:image_right
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40000.png	https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_0.png
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_2.png	https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40001.png
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40002.png	https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_4.png
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40003.png	https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_6.png
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40004.png	https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_8.png
