INPUT:image,n_workers,acc
img_487.png,5.0,0.6
img_489.png,3.0,1.0
img_49.png,5.0,0.8
img_491.png,3.0,1.0
img_493.png,4.0,1.0
img_495.png,3.0,0.3333333333333333
img_497.png,3.0,0.6666666666666666
img_499.png,5.0,0.4
img_5.png,2.0,1.0
img_501.png,4.0,0.75
img_503.png,5.0,1.0
img_505.png,4.0,0.75
img_507.png,3.0,1.0
img_509.png,3.0,1.0
img_51.png,3.0,0.3333333333333333
img_511.png,2.0,0.0
img_513.png,2.0,1.0
img_515.png,4.0,1.0
img_517.png,1.0,0.0
img_519.png,5.0,0.2
img_521.png,5.0,1.0
img_523.png,3.0,0.6666666666666666
img_525.png,4.0,0.5
img_527.png,3.0,0.0
img_529.png,3.0,1.0
img_53.png,3.0,1.0
img_531.png,2.0,1.0
img_533.png,3.0,0.3333333333333333
img_535.png,5.0,0.8
img_537.png,4.0,0.75
img_539.png,4.0,0.75
img_541.png,4.0,0.5
img_543.png,3.0,0.3333333333333333
img_545.png,3.0,0.3333333333333333
img_547.png,3.0,1.0
img_549.png,4.0,0.75
img_55.png,2.0,0.0
img_551.png,2.0,1.0
img_553.png,2.0,1.0
img_555.png,4.0,0.25
img_557.png,3.0,1.0
img_559.png,4.0,0.5
img_561.png,3.0,0.3333333333333333
img_563.png,3.0,1.0
img_565.png,4.0,0.5
img_567.png,1.0,1.0
img_569.png,3.0,1.0
img_57.png,4.0,0.75
img_571.png,4.0,0.5
img_573.png,2.0,0.5
img_575.png,3.0,0.6666666666666666
img_577.png,5.0,1.0
img_579.png,4.0,0.5
img_581.png,2.0,1.0
img_583.png,4.0,0.25
img_585.png,2.0,0.5
img_587.png,4.0,0.25
img_589.png,3.0,0.3333333333333333
img_59.png,3.0,0.3333333333333333
img_591.png,2.0,0.0
img_593.png,3.0,0.3333333333333333
img_595.png,3.0,0.0
img_597.png,3.0,0.6666666666666666
img_599.png,2.0,1.0
img_601.png,4.0,1.0
img_603.png,2.0,1.0
img_605.png,4.0,0.25
img_607.png,3.0,0.6666666666666666
img_609.png,2.0,1.0
img_61.png,4.0,0.5
img_611.png,2.0,1.0
img_613.png,5.0,0.4
img_615.png,3.0,0.3333333333333333
img_617.png,3.0,0.6666666666666666
